Id,Date,Rating,Comment,Normalized_Comment,POS,Sentiment_TextBlob,Sentiment_TextBlob_Label,Sentiment_BERT,Sentiment_BERT_Label
0," March 12, 2023",5,The monitor is very easy to set up and use. It has a sleek and thin design that looks great on my desk. It has two HDMI ports and one VGA port that allow me to connect multiple devices.,monitor easy set use sleek thin design look great desk two hdmi port one vga port allow connect multiple device,"[('monitor', 'NN'), ('easy', 'JJ'), ('set', 'VBN'), ('use', 'NN'), ('sleek', 'JJ'), ('thin', 'JJ'), ('design', 'NN'), ('look', 'NN'), ('great', 'JJ'), ('desk', 'NN'), ('two', 'CD'), ('hdmi', 'NN'), ('port', 'NN'), ('one', 'CD'), ('vga', 'NN'), ('port', 'NN'), ('allow', 'IN'), ('connect', 'JJ'), ('multiple', 'JJ'), ('device', 'NN')]",3,neutral,5,positive
1," May 19, 2022",5,"I have bought sceptre monitors in the past, and I stand by them as a great budget monitor company if you want something that's reliable and inexpensive. I purchased these monitors as secondary monitors and vertical monitors for my setup. From my experience, I knew that these monitors would be good for work other than gaming, so I primarily use them for watching videos, discord, or just as an extra screen for when I am doing work. I overall enjoy these monitors, but I have two major issues that I had first when I got them.",bought sceptre monitor past stand great budget monitor company want something thats reliable inexpensive purchased monitor secondary monitor vertical monitor setup experience knew monitor would good work gaming primarily use watching video discord extra screen work overall enjoy monitor two major issue first got,"[('bought', 'VBN'), ('sceptre', 'NNS'), ('monitor', 'VBP'), ('past', 'JJ'), ('stand', 'NN'), ('great', 'JJ'), ('budget', 'NN'), ('monitor', 'NN'), ('company', 'NN'), ('want', 'VBP'), ('something', 'NN'), ('thats', 'NNS'), ('reliable', 'JJ'), ('inexpensive', 'JJ'), ('purchased', 'VBN'), ('monitor', 'NN'), ('secondary', 'JJ'), ('monitor', 'NN'), ('vertical', 'JJ'), ('monitor', 'NN'), ('setup', 'NN'), ('experience', 'NN'), ('knew', 'VBD'), ('monitor', 'NN'), ('would', 'MD'), ('good', 'JJ'), ('work', 'NN'), ('gaming', 'VBG'), ('primarily', 'RB'), ('use', 'IN'), ('watching', 'VBG'), ('video', 'NN'), ('discord', 'NN'), ('extra', 'JJ'), ('screen', 'NN'), ('work', 'NN'), ('overall', 'JJ'), ('enjoy', 'RB'), ('monitor', 'VBP'), ('two', 'CD'), ('major', 'JJ'), ('issue', 'NN'), ('first', 'RB'), ('got', 'VBD')]",3,neutral,4,positive
2," February 18, 2023",4,"I love this little monitor for the price. Perfect for using as an extended desktop for a laptop with an HDMI cable. Great picture quality and the ability to tweak the blue light for nighttime usage. The one thing I cannot figure out how to fix, that costs it 5 stars is that when the current input (HDMI 1) which is plugged into the laptop goes on sleep mode, the input automatically shifts to input 2 (HDMI with a Firestick). The process to switch it back is relatively simple but requires multiple button pushes on the back of the screen and if input 1 is not active immediately will switch right back to input 2. A remote would have made this process a lot easier, but this does not support one.  Same goes with volume.  Overall I am glad I purchased it, but not as good as it could have been.",love little monitor price perfect using extended desktop laptop hdmi cable great picture quality ability tweak blue light nighttime usage one thing figure fix cost star current input hdmi plugged laptop go sleep mode input automatically shift input hdmi firestick process switch back relatively simple requires multiple button push back screen input active immediately switch right back input remote would made process lot easier support one go volume overall glad purchased good could,"[('love', 'VB'), ('little', 'JJ'), ('monitor', 'JJ'), ('price', 'NN'), ('perfect', 'NN'), ('using', 'VBG'), ('extended', 'JJ'), ('desktop', 'NN'), ('laptop', 'NN'), ('hdmi', 'NN'), ('cable', 'NN'), ('great', 'JJ'), ('picture', 'NN'), ('quality', 'NN'), ('ability', 'NN'), ('tweak', 'VBP'), ('blue', 'JJ'), ('light', 'JJ'), ('nighttime', 'JJ'), ('usage', 'JJ'), ('one', 'CD'), ('thing', 'NN'), ('figure', 'NN'), ('fix', 'VBZ'), ('cost', 'NN'), ('star', 'NN'), ('current', 'JJ'), ('input', 'NN'), ('hdmi', 'NN'), ('plugged', 'VBD'), ('laptop', 'JJ'), ('go', 'VB'), ('sleep', 'JJ'), ('mode', 'NN'), ('input', 'NN'), ('automatically', 'RB'), ('shift', 'VB'), ('input', 'NN'), ('hdmi', 'JJ'), ('firestick', 'JJ'), ('process', 'NN'), ('switch', 'VB'), ('back', 'RB'), ('relatively', 'RB'), ('simple', 'JJ'), ('requires', 'VBZ'), ('multiple', 'JJ'), ('button', 'NN'), ('push', 'NN'), ('back', 'RB'), ('screen', 'JJ'), ('input', 'NN'), ('active', 'JJ'), ('immediately', 'RB'), ('switch', 'VB'), ('right', 'RB'), ('back', 'RB'), ('input', 'JJ'), ('remote', 'NN'), ('would', 'MD'), ('made', 'VB'), ('process', 'NN'), ('lot', 'NN'), ('easier', 'JJR'), ('support', 'NN'), ('one', 'CD'), ('go', 'NN'), ('volume', 'NN'), ('overall', 'JJ'), ('glad', 'NN'), ('purchased', 'VBD'), ('good', 'JJ'), ('could', 'MD')]",3,neutral,4,positive
3," March 5, 2023",5,"Outstanding monitor, used for daily work and I couldn't be happier.  I was reluctant to purchase a brand I was not familiar with but very happy I took the chance.  Save a lot of money from purchasing a top brand, you'll just be paying for the name.  This monitor has a sharp picture/resolution and I'm happy to have saved some cash!",outstanding monitor used daily work couldnt happier reluctant purchase brand familiar happy took chance save lot money purchasing top brand youll paying name monitor sharp pictureresolution im happy saved cash,"[('outstanding', 'JJ'), ('monitor', 'NN'), ('used', 'VBD'), ('daily', 'JJ'), ('work', 'NN'), ('couldnt', 'NN'), ('happier', 'RBR'), ('reluctant', 'JJ'), ('purchase', 'NN'), ('brand', 'NN'), ('familiar', 'JJ'), ('happy', 'JJ'), ('took', 'VBD'), ('chance', 'NN'), ('save', 'NN'), ('lot', 'NN'), ('money', 'NN'), ('purchasing', 'VBG'), ('top', 'JJ'), ('brand', 'NN'), ('youll', 'NN'), ('paying', 'VBG'), ('name', 'NN'), ('monitor', 'NN'), ('sharp', 'JJ'), ('pictureresolution', 'NN'), ('im', 'NN'), ('happy', 'JJ'), ('saved', 'VBD'), ('cash', 'NN')]",4,positive,5,positive
4," March 9, 2023",5,I purchased two and put them side-by-side. There’s a very narrow frame around the monitor. I also like that these monitors turn completely black when they go into sleep mode. Resolution is great. Solid value.,purchased two put sidebyside there narrow frame around monitor also like monitor turn completely black go sleep mode resolution great solid value,"[('purchased', 'VBN'), ('two', 'CD'), ('put', 'VBD'), ('sidebyside', 'RB'), ('there', 'RB'), ('narrow', 'JJ'), ('frame', 'NN'), ('around', 'IN'), ('monitor', 'NN'), ('also', 'RB'), ('like', 'IN'), ('monitor', 'NN'), ('turn', 'VBP'), ('completely', 'RB'), ('black', 'JJ'), ('go', 'VBP'), ('sleep', 'JJ'), ('mode', 'NN'), ('resolution', 'NN'), ('great', 'JJ'), ('solid', 'JJ'), ('value', 'NN')]",3,neutral,5,positive
5," March 8, 2023",5,Sadly my older monitor does not match the quality of picture so they are not awkward together for color and clarity. But this monitor is amazingly clear and color is great. I use it for working from home.,sadly older monitor match quality picture awkward together color clarity monitor amazingly clear color great use working home,"[('sadly', 'RB'), ('older', 'JJR'), ('monitor', 'NN'), ('match', 'NN'), ('quality', 'NN'), ('picture', 'NN'), ('awkward', 'IN'), ('together', 'RB'), ('color', 'NN'), ('clarity', 'NN'), ('monitor', 'NN'), ('amazingly', 'RB'), ('clear', 'JJ'), ('color', 'NN'), ('great', 'JJ'), ('use', 'NN'), ('working', 'VBG'), ('home', 'NN')]",3,neutral,5,positive
6," February 27, 2023",5,"This computer monitor replaced my old Samsung monitor (that finally died after 8 years of constant use). I don't play games but use it for watching movies, work analyses, writing reports, etc. Seems color definition and clarity is better than my old monitor. Only time will tell how long this monitor lasts but I'm happy with this purchase",computer monitor replaced old samsung monitor finally died year constant use dont play game use watching movie work analysis writing report etc seems color definition clarity better old monitor time tell long monitor last im happy purchase,"[('computer', 'NN'), ('monitor', 'NN'), ('replaced', 'VBD'), ('old', 'JJ'), ('samsung', 'NN'), ('monitor', 'NN'), ('finally', 'RB'), ('died', 'VBD'), ('year', 'NN'), ('constant', 'NN'), ('use', 'NN'), ('dont', 'NN'), ('play', 'NN'), ('game', 'NN'), ('use', 'NN'), ('watching', 'VBG'), ('movie', 'NN'), ('work', 'NN'), ('analysis', 'NN'), ('writing', 'VBG'), ('report', 'NN'), ('etc', 'FW'), ('seems', 'VBZ'), ('color', 'NN'), ('definition', 'NN'), ('clarity', 'NN'), ('better', 'RBR'), ('old', 'JJ'), ('monitor', 'NN'), ('time', 'NN'), ('tell', 'VB'), ('long', 'RB'), ('monitor', 'NN'), ('last', 'JJ'), ('im', 'NN'), ('happy', 'JJ'), ('purchase', 'NN')]",3,neutral,5,positive
7," November 9, 2022",3,"I have had this monitor for only a few days, and I am not very impressed with it.  The monitor control buttons being in the back where you have to blindly feel for them and just remember which one is which is a terrible design.  All of my other monitors have the buttons under the front edge where they are so much easier to use.  Having two HDMI inputs is nice, but the actual steps to switch between inputs are cumbersome, and the speed to switch screens is slow.  Not a big deal for the occasional change, but if you want to switch between inputs frequently while sitting at your desk, this is not a good monitor.",monitor day impressed monitor control button back blindly feel remember one terrible design monitor button front edge much easier use two hdmi input nice actual step switch input cumbersome speed switch screen slow big deal occasional change want switch input frequently sitting desk good monitor,"[('monitor', 'NN'), ('day', 'NN'), ('impressed', 'VBD'), ('monitor', 'NN'), ('control', 'NN'), ('button', 'NN'), ('back', 'RB'), ('blindly', 'RB'), ('feel', 'VBP'), ('remember', 'VB'), ('one', 'CD'), ('terrible', 'JJ'), ('design', 'NN'), ('monitor', 'NN'), ('button', 'NN'), ('front', 'NN'), ('edge', 'NN'), ('much', 'RB'), ('easier', 'JJR'), ('use', 'NN'), ('two', 'CD'), ('hdmi', 'NN'), ('input', 'NN'), ('nice', 'JJ'), ('actual', 'JJ'), ('step', 'NN'), ('switch', 'NN'), ('input', 'NN'), ('cumbersome', 'VBP'), ('speed', 'NN'), ('switch', 'VBP'), ('screen', 'NN'), ('slow', 'JJ'), ('big', 'JJ'), ('deal', 'NN'), ('occasional', 'JJ'), ('change', 'NN'), ('want', 'VBP'), ('switch', 'NN'), ('input', 'NN'), ('frequently', 'RB'), ('sitting', 'VBG'), ('desk', 'NN'), ('good', 'JJ'), ('monitor', 'NN')]",3,neutral,2,negative
8," March 5, 2023",5,I bought two of these monitors during early days of Pandemic as a temporary WFH model. Now it's been 3 years and still using these monitors without any issues. This monitor is really great for day2day office work. I highly recommend this product to everyone.,bought two monitor early day pandemic temporary wfh model year still using monitor without issue monitor really great dayday office work highly recommend product everyone,"[('bought', 'VBD'), ('two', 'CD'), ('monitor', 'NNS'), ('early', 'JJ'), ('day', 'NN'), ('pandemic', 'JJ'), ('temporary', 'JJ'), ('wfh', 'NN'), ('model', 'NN'), ('year', 'NN'), ('still', 'RB'), ('using', 'VBG'), ('monitor', 'NN'), ('without', 'IN'), ('issue', 'NN'), ('monitor', 'NN'), ('really', 'RB'), ('great', 'JJ'), ('dayday', 'JJ'), ('office', 'NN'), ('work', 'NN'), ('highly', 'RB'), ('recommend', 'JJ'), ('product', 'NN'), ('everyone', 'NN')]",4,positive,5,positive
9," February 5, 2023",5,This is a great monitor for the price. I bought it for about $120 and it is now $90.The picture quality is okay. The monitor stand it comes in is not height adjustable. The sound coming out of this monitor is horrible. The sound is coming from the back of the monitor too. My laptop plays better sound. I turn the sound on from my laptop. I used to monitor to travel and has held up so far without putting the box in my suitcase. I put the monitor between clothes.  I wouldn't get the blue shift monitor because it makes the colors look awful. I don't turn blue Shift on.,great monitor price bought picture quality okay monitor stand come height adjustable sound coming monitor horrible sound coming back monitor laptop play better sound turn sound laptop used monitor travel held far without putting box suitcase put monitor clothes wouldnt get blue shift monitor make color look awful dont turn blue shift,"[('great', 'JJ'), ('monitor', 'NN'), ('price', 'NN'), ('bought', 'VBD'), ('picture', 'NN'), ('quality', 'NN'), ('okay', 'VBP'), ('monitor', 'NN'), ('stand', 'VBP'), ('come', 'VBN'), ('height', 'NN'), ('adjustable', 'JJ'), ('sound', 'NN'), ('coming', 'VBG'), ('monitor', 'NN'), ('horrible', 'JJ'), ('sound', 'NN'), ('coming', 'VBG'), ('back', 'RB'), ('monitor', 'NN'), ('laptop', 'JJ'), ('play', 'NN'), ('better', 'RBR'), ('sound', 'NN'), ('turn', 'VBP'), ('sound', 'JJ'), ('laptop', 'JJ'), ('used', 'VBN'), ('monitor', 'NN'), ('travel', 'NN'), ('held', 'VBD'), ('far', 'RB'), ('without', 'IN'), ('putting', 'VBG'), ('box', 'NN'), ('suitcase', 'NN'), ('put', 'VBD'), ('monitor', 'NN'), ('clothes', 'NNS'), ('wouldnt', 'VBP'), ('get', 'VB'), ('blue', 'JJ'), ('shift', 'NN'), ('monitor', 'NN'), ('make', 'VBP'), ('color', 'NN'), ('look', 'NN'), ('awful', 'JJ'), ('dont', 'JJ'), ('turn', 'NN'), ('blue', 'JJ'), ('shift', 'NN')]",3,neutral,3,neutral
10," March 6, 2023",4,"I have two of these, bought them a year apart. One is working just fine, and the other one is starting to have dead pixels after 2 years. It held up great for the price and quality.",two bought year apart one working fine one starting dead pixel year held great price quality,"[('two', 'CD'), ('bought', 'VBD'), ('year', 'NN'), ('apart', 'RB'), ('one', 'CD'), ('working', 'VBG'), ('fine', 'JJ'), ('one', 'CD'), ('starting', 'VBG'), ('dead', 'JJ'), ('pixel', 'JJ'), ('year', 'NN'), ('held', 'VBD'), ('great', 'JJ'), ('price', 'NN'), ('quality', 'NN')]",4,positive,5,positive
